2017-11-09 23:49:34,612 [localhost-startStop-1] INFO  [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization started
2017-11-09 23:49:34,753 [localhost-startStop-1] INFO  [org.springframework.web.context.support.XmlWebApplicationContext] - Refreshing Root WebApplicationContext: startup date [Thu Nov 09 23:49:34 CST 2017]; root of context hierarchy
2017-11-09 23:49:34,831 [localhost-startStop-1] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\applicationContext-service.xml]
2017-11-09 23:49:35,441 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\jdbc.properties]
2017-11-09 23:49:35,441 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\log4j.properties]
2017-11-09 23:49:35,441 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\resource.properties]
2017-11-09 23:49:35,441 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\resources.properties]
2017-11-09 23:49:35,441 [localhost-startStop-1] INFO  [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-11-09 23:49:35,503 [localhost-startStop-1] INFO  [org.springframework.web.context.ContextLoader] - Root WebApplicationContext: initialization completed in 887 ms
2017-11-09 23:49:35,534 [localhost-startStop-1] INFO  [org.springframework.web.servlet.DispatcherServlet] - FrameworkServlet 'SpringMVC': initialization started
2017-11-09 23:49:35,534 [localhost-startStop-1] INFO  [org.springframework.web.context.support.XmlWebApplicationContext] - Refreshing WebApplicationContext for namespace 'SpringMVC-servlet': startup date [Thu Nov 09 23:49:35 CST 2017]; parent: Root WebApplicationContext
2017-11-09 23:49:35,550 [localhost-startStop-1] INFO  [org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [springMVC.xml]
2017-11-09 23:49:35,879 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\jdbc.properties]
2017-11-09 23:49:35,879 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\log4j.properties]
2017-11-09 23:49:35,879 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\resource.properties]
2017-11-09 23:49:35,879 [localhost-startStop-1] INFO  [org.springframework.context.support.PropertySourcesPlaceholderConfigurer] - Loading properties file from file [E:\！重要文件夹！\JavaEE\taotao-portal\target\classes\resources.properties]
2017-11-09 23:49:35,879 [localhost-startStop-1] INFO  [org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor] - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-11-09 23:49:36,105 [localhost-startStop-1] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/cart/cartSuccess],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.wjl.portal.controller.CartController.success()
2017-11-09 23:49:36,105 [localhost-startStop-1] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/cart/add/{id}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.wjl.portal.controller.CartController.addItemToCart(java.lang.Integer,java.lang.Long,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-11-09 23:49:36,105 [localhost-startStop-1] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/cart/update/num/{id}/{num}],methods=[POST],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.wjl.portal.controller.CartController.updateCartNum(java.lang.Long,java.lang.Integer,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-11-09 23:49:36,109 [localhost-startStop-1] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/cart/delete/{id}],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.wjl.portal.controller.CartController.deleteItemFromCart(java.lang.Long,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-11-09 23:49:36,109 [localhost-startStop-1] INFO  [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping] - Mapped "{[/cart/cart],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String com.wjl.portal.controller.CartController.showcart(javax.servlet.http.HttpServletRequest,org.springframework.ui.Model)
